#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
10723241|2018-04-02T13:40:34|-20.6588|-63.0058|559.0|us|NEIC PDE|us|us1000dce2|Mww|6.8|us|SOUTHERN BOLIVIA
10720983|2018-03-25T14:28:35|-26.7926|-63.3697|577.24|us|NEIC PDE|us|us1000d8vi|Mww|5.6|us|SANTIAGO DEL ESTERO PROV., ARG.
10683512|2018-03-09T16:23:23|-21.0006|-178.606|540.34|us|NEIC PDE|us|us1000d2bk|Mww|5.7|us|FIJI ISLANDS REGION
10680559|2018-03-02T04:42:14|-22.079|-63.7628|526.27|us|NEIC PDE|us|us2000datn|Mww|5.4|us|SALTA PROVINCE, ARGENTINA
10642106|2018-02-11T16:38:14|-20.919|-179.1396|631.16|us|NEIC PDE|us|us2000d0k7|Mww|5.5|us|FIJI ISLANDS REGION
10641734|2018-02-09T23:59:24|-21.3996|-179.2817|604.22|us|NEIC PDE|us|us2000d004|Mww|5.6|us|FIJI ISLANDS REGION
10641454|2018-02-09T11:43:56|-17.8875|-178.6641|545.18|us|NEIC PDE|us|us2000czgc|Mww|5.9|us|FIJI ISLANDS REGION
10640517|2018-02-07T12:03:26|-20.5937|-178.2155|559.55|us|NEIC PDE|us|us1000ci7d|mb|5.3|us|FIJI ISLANDS REGION
10639646|2018-02-05T20:56:22|27.0011|140.1845|467.22|us|NEIC PDE|us|us1000cga3|Mww|5.3|us|BONIN ISLANDS, JAPAN REGION
10608532|2018-01-25T10:41:14|-17.7562|-179.6446|620.51|us|NEIC PDE|us|us2000cp7l|Mww|5.7|us|FIJI ISLANDS REGION
10606898|2018-01-20T11:47:50|-22.1105|-179.4592|579.69|us|NEIC PDE|us|us2000clsb|mb|5.0|us|SOUTH OF FIJI ISLANDS
10606101|2018-01-18T12:08:52|52.5662|152.9796|447.58|us|NEIC PDE|us|us2000ckqy|Mww|5.7|us|NORTHWEST OF KURIL ISLANDS
10605462|2018-01-16T19:57:18|-19.4488|-179.2981|666.87|us|NEIC PDE|us|us2000ck3t|Mww|5.9|us|FIJI ISLANDS REGION
10603718|2018-01-11T17:53:34|-23.953|179.9512|520.48|us|NEIC PDE|us|us2000ciek|Mww|5.5|us|SOUTH OF FIJI ISLANDS
10600157|2018-01-02T14:57:19|-24.8235|178.45|579.49|us|NEIC PDE|us|us1000bz0y|Mww|5.9|us|SOUTH OF FIJI ISLANDS
10558231|2017-11-27T22:46:20|-15.4867|-178.0482|404.22|us|NEIC PDE|us|us2000bv6c|mb|5.0|us|FIJI ISLANDS REGION
10486346|2017-11-14T10:50:05|-18.1544|-177.9864|603.53|us|NEIC PDE|us|us2000bn70|Mww|5.5|us|FIJI ISLANDS REGION
