#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName | gcmt_lat | gcmt_lon | gcmt_dep | gcmt_mag | gcmt magtype| M0(dyne_cm)
10720983|2018-03-25T14:28:35|-26.7926|-63.3697|577.24|us|NEIC PDE|us|us1000d8vi|Mww|5.6|us|SANTIAGO DEL ESTERO PROV., ARG.|-26.88|-63.20|581.7|5.6|Mw|2.89e24
10683512|2018-03-09T16:23:23|-21.0006|-178.606|540.34|us|NEIC PDE|us|us1000d2bk|Mww|5.7|us|FIJI ISLANDS REGION|-20.89|-178.70|568.0|5.7|Mw|4.03e24
10641734|2018-02-09T23:59:24|-21.3996|-179.2817|604.22|us|NEIC PDE|us|us2000d004|Mww|5.6|us|FIJI ISLANDS REGION|-21.47|-179.18|620.9|5.7|Mw|4.02e24
10641454|2018-02-09T11:43:56|-17.8875|-178.6641|545.18|us|NEIC PDE|us|us2000czgc|Mww|5.9|us|FIJI ISLANDS REGION|-17.80|-178.54|571.3|6.0|Mw|1.23e25
10639646|2018-02-05T20:56:22|27.0011|140.1845|467.22|us|NEIC PDE|us|us1000cga3|Mww|5.3|us|BONIN ISLANDS, JAPAN REGION|26.93|140.22|471.6|5.5|Mw|1.92e24
10608532|2018-01-25T10:41:14|-17.7562|-179.6446|620.51|us|NEIC PDE|us|us2000cp7l|Mww|5.7|us|FIJI ISLANDS REGION|-17.73|-179.69|651.5|5.9|Mw|7.79e24
10606101|2018-01-18T12:08:52|52.5662|152.9796|447.58|us|NEIC PDE|us|us2000ckqy|Mww|5.7|us|NORTHWEST OF KURIL ISLANDS|52.62|153.01|470.5|5.8|Mw|6.26e24
10605462|2018-01-16T19:57:18|-19.4488|-179.2981|666.87|us|NEIC PDE|us|us2000ck3t|Mww|5.9|us|FIJI ISLANDS REGION|-19.46|-179.23|666.9|5.9|Mw|9.82e24
10603718|2018-01-11T17:53:34|-23.953|179.9512|520.48|us|NEIC PDE|us|us2000ciek|Mww|5.5|us|SOUTH OF FIJI ISLANDS|-24.07|-179.94|523.6|5.5|Mw|2.14e24
10600157|2018-01-02T14:57:19|-24.8235|178.45|579.49|us|NEIC PDE|us|us1000bz0y|Mww|5.9|us|SOUTH OF FIJI ISLANDS|-24.80|178.42|587.6|6.0|Mw|1.12e25
10558231|2017-11-27T22:46:20|-15.4867|-178.0482|404.22|us|NEIC PDE|us|us2000bv6c|mb|5.0|us|FIJI ISLANDS REGION|nan|nan|nan|nan|nan|7.55e23
10486346|2017-11-14T10:50:05|-18.1544|-177.9864|603.53|us|NEIC PDE|us|us2000bn70|Mww|5.5|us|FIJI ISLANDS REGION|-18.08|-178.11|613.5|5.5|Mw|2.04e24
10453182|2017-11-08T07:35:11|-21.8611|-179.4282|582.59|us|NEIC PDE|us|us2000bk9d|Mww|5.7|us|FIJI ISLANDS REGION|-21.90|-179.48|603.8|5.7|Mw|4.46e24
10452819|2017-11-07T09:01:39|-17.6795|-178.5379|554.72|us|NEIC PDE|us|us2000bjrq|Mww|5.7|us|FIJI ISLANDS REGION|-17.58|-178.53|570.5|5.8|Mw|5.82e24
10452239|2017-11-05T01:35:28|-18.6496|-177.7449|482.88|us|NEIC PDE|us|us2000biq7|Mww|5.5|us|FIJI ISLANDS REGION|-18.63|177.73|492.1|5.5|Mw|2.4e24
10447967|2017-10-24T10:47:47|-7.2364|123.0401|549.19|us|NEIC PDE|us|us1000aw8q|Mww|6.7|us|BANDA SEA|-7.25|123.02|556.8|6.7|Mw|1.52e26
10409462|2017-09-28T23:11:16|-24.8371|-179.7527|445.53|us|NEIC PDE|us|us2000aw9p|Mww|5.4|us|SOUTH OF FIJI ISLANDS|-24.92|-179.64|483.5|5.5|Mw|1.92e24
10408743|2017-09-26T21:29:06|-23.5856|-179.9476|538.01|us|NEIC PDE|us|us2000av40|Mww|5.4|us|SOUTH OF FIJI ISLANDS|-23.88|-179.90|566.2|5.7|Mw|3.78e24
10406906|2017-09-20T23:59:24|-6.1113|113.024|588.0|us|NEIC PDE|us|us2000as7r|Mww|5.7|us|JAVA, INDONESIA|-6.12|113.05|594.6|5.7|Mw|4.77e24
10401795|2017-09-07T17:36:15|-25.7528|-179.9352|480.25|us|NEIC PDE|us|us2000ahm8|mb|5.0|us|SOUTH OF FIJI ISLANDS|-25.48|-179.70|497.2|5.7|Mw|4.16e24
10401792|2017-09-07T17:26:49|27.7829|139.8041|451.0|us|NEIC PDE|us|us2000ahlq|Mww|6.1|us|BONIN ISLANDS, JAPAN REGION|27.79|139.75|459.8|6.0|Mw|1.42e25
10394345|2017-08-19T02:00:52|-17.9609|-178.8406|544.0|us|NEIC PDE|us|us2000a9n1|Mww|6.4|us|FIJI ISLANDS REGION|-17.80|-178.77|559.8|6.5|Mw|6.7e25
10281536|2017-07-30T03:30:40|-21.0144|-178.6514|575.0|us|NEIC PDE|us|us2000a2m0|mb|5.0|us|FIJI ISLANDS REGION|-20.88|-178.81|577.9|5.7|Mw|4.2e24
10274708|2017-07-12T19:48:07|40.8548|131.6565|545.0|us|NEIC PDE|us|us20009vsi|Mww|5.9|us|SEA OF JAPAN|40.89|131.56|556.3|5.9|Mw|9.53e24
10269872|2017-06-29T07:03:12|-31.106|179.9269|414.61|us|NEIC PDE|us|us1000954z|Mww|6.0|us|KERMADEC ISLANDS REGION|-30.93|-179.92|409.5|6.0|Mw|1.46e25
10227651|2017-06-17T22:26:01|-24.0934|179.6059|511.0|us|NEIC PDE|us|us20009nc2|Mww|6.1|us|SOUTH OF FIJI ISLANDS|-24.15|179.66|537.5|6.1|Mw|1.69e25
10159151|2017-05-20T01:06:14|9.3849|123.9583|533.0|us|NEIC PDE|us|us10008tp0|Mww|6.0|us|NEGROS, PHILIPPINES|9.33|124.02|544.6|6.0|Mw|1.18e25
10087356|2017-04-18T17:11:47|-18.0851|-178.3718|628.0|us|NEIC PDE|us|us10008iph|Mww|6.0|us|FIJI ISLANDS REGION|-18.03|-178.17|646.5|6.1|Mw|1.77e25
10049656|2017-04-13T17:05:55|-18.2279|-178.1683|502.06|us|NEIC PDE|us|us10008hbv|Mww|5.8|us|FIJI ISLANDS REGION|-18.03|-178.05|503.8|5.8|Mw|5.72e24
10003813|2017-02-24T23:46:45|-17.9678|-178.4533|581.4|us|NEIC PDE|us|us20008man|Mww|5.9|us|FIJI ISLANDS REGION|-17.93|-178.42|592.5|5.9|Mw|9.6e24
