Data Set S1
event_ID                  yr   mon  day    hr    min   sec        m0      Mw  mb     lat     lon     depth   fc       stress_drop   rms         nstat
Event_1991_292_21_23_15  1991  10    19    21    23   15.50   1.7700e+26  6.8 6.5   30.725   78.775  10.0   0.2195    4.2590e+01    8.5660e-02    8
Event_1991_305_16_23_26  1991  11     1    16    23   26.40   9.3700e+25  6.6 6.4  -30.223 -177.834  21.0   0.1950    1.5810e+01    1.5210e-01   10
Event_1991_309_21_16_14  1991  11     5    21    16   14.30   6.8000e+25  6.5 5.6  -17.626   65.920  12.4   0.2530    2.5060e+01    1.1230e-01    3
Event_1991_317_11_12_12  1991  11    13    11    12   12.90   1.0030e+26  6.6 6.1    8.393  126.405  36.0   0.0615    5.3090e-01    1.7200e-01    3
Event_1991_323_22_28_50  1991  11    19    22    28   50.80   7.3200e+26  7.2 6.5    4.552  -77.356  21.0   0.0315    5.2060e-01    1.3930e-01   11
Event_1991_331_05_03_32  1991  11    27     5     3   32.20   4.9900e+24  5.7 5.9   48.315  154.741  28.0   0.3625    5.4080e+00    7.5570e-02    3
Event_1991_347_02_33_52  1991  12    13     2    33   52.20   8.1300e+25  6.5 6.2   45.649  151.486  30.0   0.1670    8.6160e+00    9.8060e-02   11
Event_1991_353_01_33_42  1991  12    19     1    33   42.20   1.5300e+26  6.7 6.1   45.365  151.137  27.0   0.0945    2.9380e+00    8.0040e-02    9
Event_1991_356_08_43_13  1991  12    22     8    43   13.30   2.7700e+27  7.6 6.3   45.587  151.038  25.0   0.0295    1.6180e+00    9.0880e-02   21
Event_1992_037_01_12_39  1992   2     6     1    12   39.30   3.9800e+25  6.3 5.9   -5.747  103.036  37.0   0.1745    4.8120e+00    1.7840e-01    5
Event_1992_044_01_29_15  1992   2    13     1    29   15.50   1.7700e+26  6.8 6.1  -15.905  166.327   9.6   0.1415    1.1410e+01    1.2630e-01    6
Event_1992_062_12_29_40  1992   3     2    12    29   40.20   2.3200e+26  6.8 6.5   52.932  159.787  39.0   0.0760    2.3170e+00    1.1360e-01   14
Event_1992_064_03_49_57  1992   3     4     3    49   57.90   5.1800e+25  6.4 6.0   -3.009  147.959  19.0   0.1450    3.5930e+00    1.5890e-01    4
Event_1992_065_14_39_10  1992   3     5    14    39   10.20   3.6700e+25  6.3 6.5   52.877  159.569  45.0   0.2405    1.1620e+01    1.0120e-01   10
Event_1992_090_18_09_45  1992   3    30    18     9   45.10   8.8800e+24  5.9 5.7  -17.841 -116.167  15.0   0.2285    2.4110e+00    1.0460e-01    3
Event_1992_094_03_19_52  1992   4     3     3    19   52.40   6.5200e+25  6.5 5.7   -5.720  151.235  27.0   0.0340    5.8310e-02    1.6380e-01    4
